,Location,Date,Time,People
712,c,010919,111546,3
713,c,010919,111549,4
714,c,010919,111552,2
715,c,010919,111554,3
716,c,010919,111558,2
717,c,010919,111601,1
718,c,010919,111605,1
719,c,010919,111608,1
720,c,010919,111611,1
721,c,010919,111615,1
722,c,010919,111618,0
723,c,010919,111620,0
724,c,010919,111623,0
725,c,010919,111626,0
726,c,010919,111629,1
727,c,010919,111631,1
728,c,010919,111634,0
729,c,010919,111636,0
730,c,010919,111640,0
731,c,010919,111643,0
732,c,010919,111645,0
733,c,010919,111648,1
734,c,010919,111651,2
735,c,010919,111655,2
736,c,010919,111658,1
737,c,010919,111701,1
738,c,010919,111704,3
739,c,010919,111707,5
740,c,010919,111711,7
741,c,010919,111714,6
742,c,010919,111717,7
743,c,010919,111720,8
744,c,010919,111724,6
745,c,010919,111727,4
746,c,010919,111730,4
747,c,010919,111733,3
748,c,010919,111737,3
749,c,010919,111740,1
750,c,010919,111743,2
751,c,010919,111746,2
752,c,010919,111749,2
753,c,010919,111752,6
754,c,010919,111755,6
755,c,010919,111758,9
756,c,010919,111801,7
757,c,010919,111804,10
758,c,010919,111807,8
759,c,010919,111810,8
760,c,010919,111814,5
761,c,010919,111817,3
762,c,010919,111820,1
763,c,010919,111823,1
764,c,010919,111826,1
765,c,010919,111829,1
766,c,010919,111832,1
767,c,010919,111835,1
768,c,010919,111839,1
769,c,010919,111842,0
770,c,010919,111844,0
771,c,010919,111847,0
772,c,010919,111850,1
773,c,010919,111853,2
774,c,010919,111856,4
775,c,010919,111859,4
776,c,010919,111902,5
777,c,010919,111905,4
778,c,010919,111908,4
779,c,010919,111910,6
780,c,010919,111913,5
781,c,010919,111916,5
782,c,010919,111919,6
783,c,010919,111922,2
784,c,010919,111925,3
785,c,010919,111928,3
786,c,010919,111932,3
787,c,010919,111934,4
788,c,010919,111937,6
789,c,010919,111941,6
790,c,010919,111944,6
791,c,010919,111947,6
792,c,010919,111949,6
793,c,010919,111952,6
794,c,010919,111956,4
795,c,010919,111958,3
796,c,010919,112001,4
797,c,010919,112005,3
798,c,010919,112008,3
799,c,010919,112011,1
800,c,010919,112014,1
801,c,010919,112017,0
802,c,010919,112020,0
803,c,010919,112023,1
804,c,010919,112027,0
805,c,010919,112030,0
806,c,010919,112032,0
807,c,010919,112035,0
808,c,010919,112038,0
809,c,010919,112041,0
810,c,010919,112044,0
811,c,010919,112047,0
812,c,010919,112050,2
813,c,010919,112053,3
814,c,010919,112056,4
815,c,010919,112059,4
816,c,010919,112102,3
817,c,010919,112106,2
818,c,010919,112109,2
819,c,010919,112113,3
820,c,010919,112116,0
821,c,010919,112118,0
822,c,010919,112122,1
823,c,010919,112125,2
824,c,010919,112128,5
825,c,010919,112131,4
826,c,010919,112134,7
827,c,010919,112136,6
828,c,010919,112140,8
829,c,010919,112143,8
830,c,010919,112146,6
831,c,010919,112150,6
832,c,010919,112152,3
833,c,010919,112155,3
834,c,010919,112158,5
835,c,010919,112201,5
836,c,010919,112204,4
837,c,010919,112207,0
838,c,010919,112210,3
839,c,010919,112213,4
840,c,010919,112216,3
841,c,010919,112219,2
842,c,010919,112222,3
843,c,010919,112225,1
844,c,010919,112227,1
845,c,010919,112230,1
846,c,010919,112233,3
847,c,010919,112236,6
848,c,010919,112239,5
849,c,010919,112243,3
850,c,010919,112246,3
851,c,010919,112250,2
852,c,010919,112253,1
853,c,010919,112256,0
854,c,010919,112259,1
855,c,010919,112303,1
856,c,010919,112306,1
857,c,010919,112309,1
858,c,010919,112312,1
